year,1,2,3,4,5,6,7,8,9,10,11,12,13
1970,0.0,272,1341,1398,1565,980,435,78,215,52,17,26,0
1971,0.0,553,1302,1031,1324,1062,452,388,165,159,32,72,87
1972,0.0,358,2446,3071,1903,953,165,122,141,67,4,2,1
1973,0.0,331,1857,2432,1952,676,295,75,159,68,52,15,7
1974,0.0,101,2193,2088,1814,1171,267,209,116,109,98,39,9
1975,0.0,484,1022,2661,1625,706,428,139,90,36,29,16,2
1976,0.0,998,2360,1976,1405,648,273,96,76,9,2,7,5
1977,5.0,1985,2918,1976,1208,706,318,292,115,47,50,38,13
1978,0.0,706,3541,3178,2186,1210,512,170,45,26,12,16,5
1979,0.0,447,1883,3449,2490,1120,531,211,73,42,15,13,2
1980,0,837,6054,2358,1742,1135,442,261,91,60,19,17,5
1981,0,818,3870,4265,1844,1045,587,297,184,75,39,19,19
1982,0,904,2885,4414,3060,912,393,279,146,86,41,25,15
1983,9,1031,3689,2433,2057,1205,459,204,120,76,36,10,10
1984,33,917,2393,3081,1930,965,465,176,63,49,29,18,5
1985,0,711,1674,1569,2324,1284,514,194,71,53,18,7,6
1986,0,251,2789,1941,994,1008,409,200,93,50,23,20,10
1987,0,861,902,2053,1087,523,511,236,140,66,33,9,7
1988,0,403,3517,1659,1553,656,178,192,85,53,28,6,9
1989,17,655,2560,3656,632,562,163,79,60,19,10,10,2
1990,0,144,2863,2805,2462,497,279,78,40,38,14,15,1
1991,2,391,1535,5092,1777,1364,215,156,32,16,28,15,6
1992,0,751,3391,1878,3276,878,513,63,50,16,9,4,0
1993,0,881,3490,2045,660,672,186,90,14,14,5,0,0
1994,0,475,2280,2233,887,195,181,42,18,0,2,0,0
1995,0,135,2146,1081,582,130,28,40,11,5,0,0,0
1996,0,50,883,2594,441,212,29,16,8,2,1,1,0
1997,0,59,1126,1556,1193,199,82,16,2,6,1,3,0
1998,0,234,886,1021,615,441,54,20,6,2,3,1,1
1999,0,72,834,543,347,264,120,20,7,0,0,1,0
2000,0,218,575,905,247,189,66,27,8,1,1,0,0
2001,0,114,1187,595,378,75,40,17,12,1,0,0,0
2002,0,22,365,1099,221,138,31,16,13,4,1,0,0
2003,0,73,249,557,519,96,95,21,2,1,3,0,0
2004,0,33,1029,367,291,153,19,20,5,1,0,0,0
2005,0,66,148,830,173,89,47,9,3,0,0,0,0
2006,0,42,760,215,491,103,20,9,6,0,1,1,0
2007,0,214,341,927,122,175,16,9,2,1,0,0,0
2008,0,427,492,401,594,75,63,11,2,1,0,0,0
2009,7,192,878,272,98,114,10,6,1,0,1,0,0
2010,0,132,505,540,116,49,41,1,1,0,0,0,0
2011,0,37,128,204,174,50,7,5,2,0,0,0,0
2012,0,66,254,120,68,50,23,2,0,0,0,0,0
2013,0,62,304,162,23,13,4,1,0,0,0,0,0
2014,0,32,219,202,39,5,1,0,0,0,0,0,0
2015,0,30,63,131,70,7,0,0,0,0,0,0,0
2016,0,7,117,49,53,37,5,1,0,0,0,0,0
2017,0,4,34,119,92,27,18,2,1,0,0,0,0
2018,1,10,72,70,56,5,2,1,0,0,0,0,0
2019,0,20,43,65,30,18,3,1,0,0,0,0,0
2020,0,30,115,45,35,9,3,0,0,0,0,0,0
2021,0,24,107,84,26,10,2,1,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,