Year,landings,discardsGroundfish,discardsLobsterLower,discardsLobsterUpper,discards lobster(median),TotalLowerBound,TotalUpperBound,TotalMedian,TotalLandingsAndGroundfish
1960,13728,,,,,13728,13728,13728,13728
1961,13726,,,,,13726,13726,13726,13726
1962,15936,,,,,15936,15936,15936,15936
1963,17755,,,,,17755,17755,17755,17755
1964,25455,,,,,25455,25455,25455,25455
1965,26973,,,,,26973,26973,26973,26973
1966,30904,,,,,30904,30904,30904,30904
1967,32348,,,,,32348,32348,32348,32348
1968,35616,,,,,35616,35616,35616,35616
1969,32790,,,,,32790,32790,32790,32790
1970,22329,,,,,22329,22329,22329,22329
1971,23497,,,,,23497,23497,23497,23497
1972,22732,,,,,22732,22732,22732,22732
1973,22214,,,,,22214,22214,22214,22214
1974,21109,,,,,21109,21109,21109,21109
1975,21183,,,,,21183,21183,21183,21183
1976,16662,,,,,16662,16662,16662,16662
1977,22366,,,,,22366,22366,22366,22366
1978,24021,,,,,24021,24021,24021,24021
1979,28765,,,,,28765,28765,28765,28765
1980,31277,,,,,31277,31277,31277,31277
1981,31521,,,,,31521,31521,31521,31521
1982,33134,,,,,33134,33134,33134,33134
1983,29471,,,,,29471,29471,29471,29471
1984,25528,,,,,25528,25528,25528,25528
1985,21499,,,,,21499,21499,21499,21499
1986,20040,,,,,20040,20040,20040,20040
1987,19005,,,,,19005,19005,19005,19005
1988,20537,,,,,20537,20537,20537,20537
1989,19885,,72,460,209,19957,20345,20094,19885
1990,23904,,72,460,209,23976,24364,24113,23904
1991,27749,,72,460,209,27821,28209,27958,27749
1992,26080,,72,460,209,26152,26540,26289,26080
1993,16026,,72,460,209,16098,16486,16235,16026
1994,13045,,72,460,209,13117,13505,13254,13045
1995,8767,,72,460,209,8839,9227,8976,8767
1996,10572,,72,460,209,10644,11032,10781,10572
1997,11419,,72,460,209,11491,11879,11628,11419
1998,8284,,72,460,209,8356,8744,8493,8284
1999,6305,,72,460,209,6377,6765,6514,6305
2000,5756,,72,460,209,5828,6216,5965,5756
2001,5707,,72,460,209,5779,6167,5916,5707
2002,5893,,72,460,209,5965,6353,6102,5893
2003,5667,35.03,72,460,209,5774.03,6162.03,5911.03,5702.03
2004,5010,0.92,72,460,209,5082.92,5470.92,5219.92,5010.92
2005,4117,9.81,72,460,209,4198.81,4586.81,4335.81,4126.81
2006,3716,0,72,460,209,3788,4176,3925,3716
2007,3804,1.67,72,460,209,3877.67,4265.67,4014.67,3805.67
2008,4143,3.78,72,460,209,4218.78,4606.78,4355.78,4146.78
2009,3184,69.52,72,460,209,3325.52,3713.52,3462.52,3253.52
2010,2964,2.41,72,460,209,3038.41,3426.41,3175.41,2966.41
2011,1447,7.54,72,460,209,1526.54,1914.54,1663.54,1454.54
2012,1313,128,72,460,209,1513,1901,1650,1441
2013,1181,7.4,72,460,209,1260.4,1648.4,1397.4,1188.4
2014,1178,19.4,72,460,209,1269.4,1657.4,1406.4,1197.4
2015,704,1,72,460,209,777,1165,914,705
2016,717,1.2,72,460,209,790.2,1178.2,927.2,718.2
2017,789,33,72,460,209,894,1282,1031,822
2018,558.28,0,72,460,209,630.28,1018.28,767.28,558.28
2019,490.94,0,295,645,391,785.94,1135.94,881.94,490.94
2020,543.38,0,295,645,391,838.38,1188.38,934.38,543.38
2021,563.88,0,295,645,391,858.88,1208.88,954.88,563.88