Year,Cameron,Hammond,Needler
1970,40812716,,
1971,21406885,,
1972,26956937,,
1973,16401731,,
1974,23611578,,
1975,30515304,,
1976,26478231,,
1977,31465886,,
1978,21233927,,
1979,31017498,,
1980,24929064,,
1981,28380318,,
1982,,26919967,
1983,,,22138401
1984,,,25312879.9
1985,,,32041451
1986,,,17530354
1987,,,16061582
1988,,,46381232
1989,,,21406974
1990,,,32646609
1991,,,21003066
1992,,,17788699
1993,,,10220721
1994,,,18463409
1995,,,17221984
1996,,,53168898
1997,,,19859389
1998,,,21700929
1999,,,10486144
2000,,,13198689
2001,,,12048299
2002,,,20914147
2003,,,12089032
2004,,,8396037
2005,,,9742171
2006,,,5969049
2007,,,4666133
2008,,,3277751
2009,,,14972532
2010,,,3038046
2011,,,3775087
2012,,,3267640
2013,,,2057845
2014,,,2786580
2015,,,3722176
2016,,,5195406
2017,,,3068360
2018,,,3500500
2019,,,1443377
2020,,,1668954
2021,,,8450533